// balls reserved_balls_number
balls 5

// platform_scale x y
platform_scale 1.5 0.3

// short_platform_scale x y
short_platform_scale 1.0 0.2

// long_platform_scale x y
long_platform_scale 2.0 0.4

// gravity x y
gravity 0.0 -7.0

// gravity_left x y
gravity_left -3.0 -7.0

// gravity_right x y
gravity_right 3.0 -7.0

// bonus_time platform_bonus_time gravity_bonus_time time_bonus_time
bonus_time 20 20 20

// velocity_loss_wall value
velocity_loss_wall 0.05

// velocity_loss_platform value
velocity_loss_platform 0.2

// surf_friction_coef_wall value
surf_friction_coef_wall 0.05

// surf_friction_coef_platform value
surf_friction_coef_platform 0.15

// clouds alpha vx vy
clouds 0.5 0.1 0.1

// brick brick1_type life velocity_loss surf_friction_coef scale_x scale_y pos_x pos_y angle_in_degrees points is_static bonus
brick brick1 1 0.05 0.05 0.9 0.3 0.5 8 0 10 0 0
brick brick1 1 0.05 0.05 0.9 0.3 1.5 8 0 10 0 0
brick brick1 1 0.05 0.05 0.9 0.3 2.5 8 0 10 0 0
brick brick1 1 0.05 0.05 0.9 0.3 3.5 8 0 10 0 0
brick brick1 1 0.05 0.05 0.9 0.3 4.5 8 0 10 0 0
brick brick1 1 0.05 0.05 0.9 0.3 5.5 8 0 10 0 0
brick brick1 1 0.05 0.05 0.9 0.3 6.5 8 0 10 0 0
brick brick1 1 0.05 0.05 0.9 0.3 7.5 8 0 10 0 0
brick brick1 1 0.05 0.05 0.9 0.3 8.5 8 0 10 0 0
brick brick1 1 0.05 0.05 0.9 0.3 9.5 8 0 10 0 0

brick brick9 1 0.05 0.05 0.9 0.3 0.5 7 0 10 0 0
brick brick9 1 0.05 0.05 0.9 0.3 1.5 7 0 10 0 0
brick brick9 1 0.05 0.05 0.9 0.3 2.5 7 0 10 0 0
brick brick9 1 0.05 0.05 0.9 0.3 3.5 7 0 10 0 0
brick brick9 1 0.05 0.05 0.9 0.3 4.5 7 0 10 0 0
brick brick9 1 0.05 0.05 0.9 0.3 5.5 7 0 10 0 0
brick brick9 1 0.05 0.05 0.9 0.3 6.5 7 0 10 0 0
brick brick9 1 0.05 0.05 0.9 0.3 7.5 7 0 10 0 0
brick brick9 1 0.05 0.05 0.9 0.3 8.5 7 0 10 0 0
brick brick9 1 0.05 0.05 0.9 0.3 9.5 7 0 10 0 0

brick brick12 1 0.05 0.05 0.9 0.3 0.5 6 0 10 0 0
brick brick12 1 0.05 0.05 0.9 0.3 1.5 6 0 10 0 0
brick brick12 1 0.05 0.05 0.9 0.3 2.5 6 0 10 0 0
brick brick12 1 0.05 0.05 0.9 0.3 3.5 6 0 10 0 0
brick brick12 1 0.05 0.05 0.9 0.3 4.5 6 0 10 0 0
brick brick12 1 0.05 0.05 0.9 0.3 5.5 6 0 10 0 0
brick brick12 1 0.05 0.05 0.9 0.3 6.5 6 0 10 0 0
brick brick12 1 0.05 0.05 0.9 0.3 7.5 6 0 10 0 0
brick brick12 1 0.05 0.05 0.9 0.3 8.5 6 0 10 0 0
brick brick12 1 0.05 0.05 0.9 0.3 9.5 6 0 10 0 0

brick brick17 1 0.05 0.05 0.9 0.3 0.5 5 0 10 0 0
brick brick17 1 0.05 0.05 0.9 0.3 1.5 5 0 10 0 0
brick brick17 1 0.05 0.05 0.9 0.3 2.5 5 0 10 0 0
brick brick17 1 0.05 0.05 0.9 0.3 3.5 5 0 10 0 0
brick brick17 1 0.05 0.05 0.9 0.3 4.5 5 0 10 0 0
brick brick17 1 0.05 0.05 0.9 0.3 5.5 5 0 10 0 0
brick brick17 1 0.05 0.05 0.9 0.3 6.5 5 0 10 0 0
brick brick17 1 0.05 0.05 0.9 0.3 7.5 5 0 10 0 0
brick brick17 1 0.05 0.05 0.9 0.3 8.5 5 0 10 0 0
brick brick17 1 0.05 0.05 0.9 0.3 9.5 5 0 10 0 0
