// balls reserved_balls_number
balls 5

// platform_scale x y
platform_scale 1.5 0.3

// short_platform_scale x y
short_platform_scale 1.0 0.2

// long_platform_scale x y
long_platform_scale 2.0 0.4

// gravity x y
gravity 0.0 -7.0

// gravity_left x y
gravity_left -3.0 -7.0

// gravity_right x y
gravity_right 3.0 -7.0

// bonus_time platform_bonus_time gravity_bonus_time time_bonus_time
bonus_time 20 20 20

// velocity_loss_wall value
velocity_loss_wall 0.05

// velocity_loss_platform value
velocity_loss_platform 0.2

// surf_friction_coef_wall value
surf_friction_coef_wall 0.05

// surf_friction_coef_platform value
surf_friction_coef_platform 0.15

// clouds alpha vx vy
clouds 0.5 0.1 0.1

// brick brick1_type life velocity_loss surf_friction_coef scale_x scale_y pos_x pos_y angle_in_degrees points is_static bonus
brick block2 1 0.05 0.05 2.5 0.3 4.8 8.2 -45 20 1 0

brick block2 1 0.05 0.05 2.5 0.3 1.2 8.8 -45 20 1 0
brick block2 1 0.05 0.05 2.5 0.3 3.0 7.0 -45 20 1 0
brick block2 1 0.05 0.05 2.5 0.3 4.8 5.2 -45 20 1 0

brick block2 1 0.05 0.05 2.5 0.3 1.2 5.8 -45 20 1 0
brick block2 1 0.05 0.05 2.5 0.3 3.0 4.0 -45 20 1 0

brick block2 1 0.05 0.05 2.5 0.3 8.5 6.5 45 20 1 0


brick brick1 2 0.05 0.05 0.9 0.3 0.5 8.0 0 40 0 7
brick brick1 2 0.05 0.05 0.9 0.3 1.0 7.5 0 40 0 3
brick brick1 2 0.05 0.05 0.9 0.3 1.5 7.0 0 40 0 6
brick brick1 2 0.05 0.05 0.9 0.3 2.0 6.5 0 40 0 8
brick brick1 2 0.05 0.05 0.9 0.3 2.5 6.0 0 40 0 4
brick brick1 2 0.05 0.05 0.9 0.3 3.0 5.5 0 40 0 5
brick brick1 2 0.05 0.05 0.9 0.3 3.5 5.0 0 40 0 3
brick brick1 2 0.05 0.05 0.9 0.3 4.0 4.5 0 40 0 5

brick brick5 2 0.05 0.05 0.9 0.3 2.0 9.5 90 40 0 3
brick brick5 1 0.05 0.05 0.9 0.3 2.5 9.0 90 40 0 4
brick brick5 2 0.05 0.05 0.9 0.3 3.0 8.5 90 40 0 2
brick brick5 1 0.05 0.05 0.9 0.3 3.5 8.0 90 40 0 8
brick brick5 2 0.05 0.05 0.9 0.3 4.0 7.5 90 40 0 3
brick brick5 1 0.05 0.05 0.9 0.3 4.5 7.0 90 40 0 5
brick brick5 2 0.05 0.05 0.9 0.3 5.0 6.5 90 40 0 7
brick brick5 1 0.05 0.05 0.9 0.3 5.5 6.0 90 40 0 3
brick brick5 2 0.05 0.05 0.9 0.3 6.0 5.5 90 40 0 4

brick brick7 2 0.05 0.05 0.9 0.3 5.0 9.0 90 40 0 7
brick brick7 1 0.05 0.05 0.9 0.3 5.5 9.0 90 40 0 4
brick brick7 2 0.05 0.05 0.9 0.3 6.0 9.0 90 40 0 3
brick brick7 1 0.05 0.05 0.9 0.3 6.5 9.0 90 40 0 2
brick brick7 2 0.05 0.05 0.9 0.3 7.0 9.0 90 40 0 4
brick brick7 1 0.05 0.05 0.9 0.3 7.5 9.0 90 40 0 5
brick brick7 2 0.05 0.05 0.9 0.3 8.0 9.0 90 40 0 6
brick brick7 1 0.05 0.05 0.9 0.3 8.5 9.0 90 40 0 3
brick brick7 2 0.05 0.05 0.9 0.3 9.0 9.0 90 40 0 4
brick brick7 1 0.05 0.05 0.9 0.3 9.5 9.0 90 40 0 7

brick brick9 2 0.05 0.05 0.9 0.3 7.0 8.0 0 40 0 3
brick brick9 2 0.05 0.05 0.9 0.3 7.0 7.5 0 40 0 8
brick brick9 2 0.05 0.05 0.9 0.3 7.0 7.0 0 40 0 4
brick brick9 2 0.05 0.05 0.9 0.3 7.0 6.5 0 40 0 2
brick brick9 2 0.05 0.05 0.9 0.3 7.0 6.0 0 40 0 7
brick brick9 2 0.05 0.05 0.9 0.3 7.0 5.5 0 40 0 3

brick brick11 1 0.05 0.05 0.9 0.3 7.0 4.5 90 40 0 5
brick brick11 1 0.05 0.05 0.9 0.3 7.5 4.5 90 40 0 4
brick brick11 1 0.05 0.05 0.9 0.3 8.0 4.5 90 40 0 8
brick brick11 1 0.05 0.05 0.9 0.3 8.5 4.5 90 40 0 3
brick brick11 1 0.05 0.05 0.9 0.3 9.0 4.5 90 40 0 8
brick brick11 1 0.05 0.05 0.9 0.3 9.5 4.5 90 40 0 1

brick brick13 2 0.05 0.05 0.9 0.3 1.0 3.5 0 40 0 4
brick brick13 2 0.05 0.05 0.9 0.3 2.2 3.5 0 40 0 5
brick brick13 2 0.05 0.05 0.9 0.3 6.0 3.5 0 40 0 3
brick brick13 2 0.05 0.05 0.9 0.3 7.5 3.5 0 40 0 8
brick brick13 2 0.05 0.05 0.9 0.3 9.0 3.5 0 40 0 2

brick block1 1 0.05 0.05 0.5 0.5773 8.5 2.8 0 20 1 0
// pos_sine period start_time end_time time_offset symmetric delta_pos_x delta_pos_y
pos_sine 10 0 10 0 1 -1.5 0
// angle_lin period start_time end_time time_offset symmetric angle_in_degrees
angle_lin 5 0 5 0 0 360


