// balls reserved_balls_number
balls 5

// platform_scale x y
platform_scale 1.5 0.3

// short_platform_scale x y
short_platform_scale 1.0 0.2

// long_platform_scale x y
long_platform_scale 2.0 0.4

// gravity x y
gravity 0.0 -7.0

// gravity_left x y
gravity_left -3.0 -7.0

// gravity_right x y
gravity_right 3.0 -7.0

// bonus_time platform_bonus_time gravity_bonus_time time_bonus_time
bonus_time 20 20 20

// velocity_loss_wall value
velocity_loss_wall 0.05

// velocity_loss_platform value
velocity_loss_platform 0.2

// surf_friction_coef_wall value
surf_friction_coef_wall 0.05

// surf_friction_coef_platform value
surf_friction_coef_platform 0.15

// clouds alpha vx vy
clouds 0.5 0.1 0.1

// brick brick1_type life velocity_loss surf_friction_coef scale_x scale_y pos_x pos_y angle_in_degrees points is_static bonus
brick brick1 1 0.05 0.05 0.9 0.3 0.5 8 -50 15 0 0
brick brick1 1 0.05 0.05 0.9 0.3 1.5 8 -45 15 0 0
brick brick1 1 0.05 0.05 0.9 0.3 2.5 8 -40 15 0 2
brick brick1 1 0.05 0.05 0.9 0.3 3.5 8 -35 15 0 3
brick brick1 1 0.05 0.05 0.9 0.3 4.5 8 -30 15 0 0
brick brick1 1 0.05 0.05 0.9 0.3 5.5 8 -25 15 0 6
brick brick1 1 0.05 0.05 0.9 0.3 6.5 8 -20 15 0 0
brick brick1 1 0.05 0.05 0.9 0.3 7.5 8 -15 15 0 3
brick brick1 1 0.05 0.05 0.9 0.3 8.5 8 -10 15 0 5
brick brick1 1 0.05 0.05 0.9 0.3 9.5 8 -5 15 0 0

brick brick1 1 0.05 0.05 0.9 0.3 0.5 7 50 15 0 0
brick brick1 1 0.05 0.05 0.9 0.3 1.5 7 45 15 0 0
brick brick1 1 0.05 0.05 0.9 0.3 2.5 7 40 15 0 4
brick brick1 1 0.05 0.05 0.9 0.3 3.5 7 35 15 0 0
brick brick1 1 0.05 0.05 0.9 0.3 4.5 7 30 15 0 3
brick brick1 1 0.05 0.05 0.9 0.3 5.5 7 25 15 0 4
brick brick1 1 0.05 0.05 0.9 0.3 6.5 7 20 15 0 6
brick brick1 1 0.05 0.05 0.9 0.3 7.5 7 15 15 0 0
brick brick1 1 0.05 0.05 0.9 0.3 8.5 7 10 15 0 5
brick brick1 1 0.05 0.05 0.9 0.3 9.5 7 5 15 0 0

brick brick20 1 0.05 0.05 0.9 0.3 0.5 6 -5 15 0 0
brick brick20 1 0.05 0.05 0.9 0.3 1.5 6 -10 15 0 3
brick brick20 1 0.05 0.05 0.9 0.3 2.5 6 -15 15 0 0
brick brick20 1 0.05 0.05 0.9 0.3 3.5 6 -20 15 0 0
brick brick20 1 0.05 0.05 0.9 0.3 4.5 6 -35 15 0 0
brick brick20 1 0.05 0.05 0.9 0.3 5.5 6 -30 15 0 4
brick brick20 1 0.05 0.05 0.9 0.3 6.5 6 -35 15 0 0
brick brick20 1 0.05 0.05 0.9 0.3 7.5 6 -40 15 0 3
brick brick20 1 0.05 0.05 0.9 0.3 8.5 6 -45 15 0 0
brick brick20 1 0.05 0.05 0.9 0.3 9.5 6 -50 15 0 0

brick brick21 1 0.05 0.05 0.9 0.3 0.5 5 5 15 0 4
brick brick21 1 0.05 0.05 0.9 0.3 1.5 5 10 15 0 7
brick brick21 1 0.05 0.05 0.9 0.3 2.5 5 15 15 0 0
brick brick21 1 0.05 0.05 0.9 0.3 3.5 5 20 15 0 3
brick brick21 1 0.05 0.05 0.9 0.3 4.5 5 35 15 0 4
brick brick21 1 0.05 0.05 0.9 0.3 5.5 5 30 15 0 0
brick brick21 1 0.05 0.05 0.9 0.3 6.5 5 35 15 0 0
brick brick21 1 0.05 0.05 0.9 0.3 7.5 5 40 15 0 3
brick brick21 1 0.05 0.05 0.9 0.3 8.5 5 45 15 0 0
brick brick21 1 0.05 0.05 0.9 0.3 9.5 5 50 15 0 0
